"货物损失","机票超售","人身损害","行李丢失","电子客票非自愿退票证明","《公共航空运输航班超售处置规范》","《航班超售告知书》","病例","行李运输事故记录单","是否获赔"
"0","0","0","0","0","0","0","0","0","0"
"0","0","2","0","0","0","0","0","0","0"
"0","0","2","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0"
"2","0","0","0","0","0","0","0","0","1"
"0","2","2","0","1","1","1","0","0","1"
"0","0","0","0","0","0","0","0","0","0"
"0","0","2","0","0","0","0","2","0","1"
"0","0","2","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","2","1"
"0","0","2","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0"
"0","0","2","0","0","0","0","0","0","0"
"0","0","2","0","0","0","0","0","0","1"
"0","0","2","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0"
"0","0","2","0","0","0","0","0","0","1"
